fw_ID,model,richness_equilibrium,connectance_equilibrium,persistence,max_trophic_level,total_biomass,cv_total_biomass,shannon,evenness,resilience,reactivity
adbm_1,ADBM,10.0,0.24,0.6666666666666666,3.2678571428571423,3.5571140997737953,4.783495188699129e-7,1.8884274958568186,0.8201336409249922,-0.0022670721506331763,0.1944701957312161
adbm_10,ADBM,7.0,0.102,0.4666666666666667,3.0,1.2232098707489687,0.002339757700211446,1.1390012702587322,0.5853308647430029,-0.0007308775430727707,0.09392203260360632
adbm_2,ADBM,4.0,0.375,0.26666666666666666,2.833333333333333,1.5409399955836602,1.4424116694353216e-16,1.27797717753189,0.9218656681972661,-0.03479519710604774,0.06528552231690041
adbm_3,ADBM,7.0,0.184,0.4666666666666667,4.0,1.984886672331721,0.0005112132951054941,1.3883457584523429,0.7134685839047333,-0.0009350885604635088,0.0747043639739197
adbm_4,ADBM,14.0,0.179,0.9333333333333333,4.40952380952381,2.7369983410038907,0.0004023256026933401,1.8569428909136398,0.7036387084415324,-0.000977979818940998,0.03699247680017943
adbm_5,ADBM,14.0,0.224,0.9333333333333333,3.3873456790123457,3.770513449842734,0.0012612384689283903,1.8832892158931873,0.7136219417286199,-0.0006057654288174323,0.03191168759206317
adbm_6,ADBM,8.0,0.219,0.5333333333333333,3.1666666666666665,3.2303460975912435,2.3504365280174974e-5,1.3978214127585162,0.6722100067450388,-0.0017268528580696525,0.10900222078886576
adbm_7,ADBM,10.0,0.15,0.6666666666666666,3.8333333333333335,2.42724641047936,0.07203058123937615,1.97981333927739,0.8598220084466209,-0.0012009920178035866,0.02320127739238417
adbm_8,ADBM,8.0,0.172,0.5333333333333333,3.6875,2.9373093511240396,2.6050987322017066e-7,1.8372995518011788,0.8835543173370253,-0.01076708853571644,0.05906994505046747
adbm_9,ADBM,9.0,0.235,0.6,3.0,4.209280550282671,7.4038622900057655e-6,1.5694076814056115,0.7142682170924308,-0.0015475913251583955,0.007048853312274788
atn_1,ATN,9.0,0.148,0.6,3.8499999999999996,5.052601272656607,1.8098896008223318e-7,2.007761875910572,0.9137718085898435,-0.005815634361953206,0.06172508756937828
atn_10,ATN,10.0,0.14,0.6666666666666666,4.125,1.7729390936928637,0.0013778087980793473,1.7994501434450505,0.7814912677582003,-0.0007308773580533197,0.17160875257715108
atn_2,ATN,7.0,0.204,0.4666666666666667,3.25,2.602557338988784,2.148423156468867e-9,1.5969400615020677,0.8206648504697603,-0.0034591506376440507,0.06527950244972744
atn_3,ATN,13.0,0.112,0.8666666666666667,3.708333333333333,4.438024149123907,0.00035193863958563846,1.9827363998186538,0.7730119092023384,-0.0007129850733574605,0.012667792410895705
atn_4,ATN,15.0,0.124,1.0,2.9374999999999996,9.809412780106445,0.00021512777711281061,2.01107736719092,0.7426292785755547,-0.0009588078925844014,0.10510621077650185
atn_5,ATN,8.0,0.094,0.5333333333333333,3.0,1.1951268692342798,0.0005344997148952649,0.6705708811917204,0.32247642828661244,-0.0006173234781988968,0.03191340898241152
atn_6,ATN,13.0,0.107,0.8666666666666667,4.25,5.403365975924871,1.1808912697725122e-5,1.7692339733662639,0.6897734523371754,-0.0017067357193859996,0.07677550521103992
atn_7,ATN,15.0,0.138,1.0,5.99022633744856,5.828752255135758,0.03391512397825908,2.4674780648416035,0.9111640780652106,-0.0006880091146649052,0.05155139311234392
atn_8,ATN,15.0,0.182,1.0,3.9291666666666663,7.19845122253603,3.3160113141978634e-6,2.551394906566447,0.9421519975988619,-0.0007399866619215742,0.12358185250596046
atn_9,ATN,13.0,0.101,0.8666666666666667,4.111111111111111,5.595983780694848,0.0002615674850077185,1.981099876140564,0.7723738756780784,-0.0005139684340854574,0.012039433551444236
cascade_1,Cascade,9.0,0.16,0.6,3.388888888888889,4.207346866635747,1.816701923185205e-6,1.9540898953222745,0.8893446375387323,-0.0012922110510824106,0.01010027226463972
cascade_10,Cascade,11.0,0.14,0.7333333333333333,3.0,6.795955345860499,9.350591167791142e-7,2.162229288664185,0.9017196510591721,-2.1766897353088322e-5,0.008096651326413582
cascade_2,Cascade,7.0,0.245,0.4666666666666667,3.4375,1.962258061025676,1.1393164110467417e-5,1.6019011110451236,0.823214325606351,-0.0004167643808588033,0.042147346347065066
cascade_3,Cascade,4.0,0.188,0.26666666666666666,2.0,1.571886175327746,1.7010829277456618e-8,1.3471798999805351,0.9717848804436039,1.4557383076763138e-10,0.08186734158586813
cascade_4,Cascade,11.0,0.198,0.7333333333333333,3.9000000000000004,4.342589674837248,3.0612951063831745e-6,2.149045377312956,0.8962215329800438,-0.0019958579148435913,0.04141767423611069
cascade_5,Cascade,3.0,0.222,0.2,3.0,1.3527806434979164,1.9866095196756302e-7,0.8392480408020673,0.7639164876077621,-0.01238582469896183,0.0018782148032130078
cascade_6,Cascade,4.0,0.188,0.26666666666666666,2.0,1.5718861758445744,2.0613792278528e-8,1.3027334953064968,0.9397235766393144,1.6447462974911178e-9,0.0824764497606429
