model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
adbm_1,9,0.12345679012345678,0.9261600176561031,1.1851851851851851,1.0499999999999998,1.2278029157808674,0.4444444444444444,1.5,2.0,0.9285714285714286,0.37037037037037035,0.19598157859737703
adbm_10,9,0.1111111111111111,0.9373994714948702,1.1975308641975309,1.224744871391589,1.0,0.4444444444444444,1.5,2.0,2.0,0.0,0.23570226039551576
adbm_100,9,0.14814814814814814,0.890411990536752,1.185185185185185,1.243734296383275,0.9185586535436918,0.3333333333333333,1.4545454545454546,2.0,1.9999999999999998,0.29629629629629634,0.18652712436989277
adbm_11,10,0.14,0.9214115107702715,1.22,0.9035079029052512,0.9642122253007899,0.3,2.4,2.0,1.1052631578947367,0.5,0.2032699715124724
adbm_12,6,0.1111111111111111,0.8724293398564681,1.1388888888888888,1.816590212458495,1.224744871391589,0.5,0.8,2.0,3.5000000000000004,0.38888888888888884,0.23570226039551573
adbm_13,6,0.08333333333333333,0.9999999999999998,1.1111111111111112,1.0954451150103321,1.0954451150103321,0.5,1.0,2.0,1.0,0.0,1.2869730969111293e-16
adbm_14,4,0.0625,NaN,1.0625,2.0,2.0,0.75,0.3333333333333333,2.0,3.0,0.0,NaN
adbm_15,13,0.23668639053254437,0.8197835777902099,1.378698224852071,1.1137399457084523,0.8120832264409027,0.23076923076923078,3.085714285714286,2.0,2.366906474820144,0.6012210012210012,0.3499951231859991
adbm_16,3,0.0,0.0,1.0,NaN,NaN,1.0,0.0,1.0,NaN,0.0,NaN
adbm_17,5,0.08,1.0,1.1199999999999999,1.3693063937629153,1.3693063937629153,0.6,0.6666666666666666,2.0,1.5,0.0,0.0
adbm_18,9,0.08641975308641975,0.9689453867561505,1.0987654320987654,1.2494896917525644,0.8571428571428571,0.3333333333333333,2.0,2.0,1.4545454545454548,0.18518518518518517,0.14946504647434425
adbm_19,6,0.1388888888888889,0.9182958340544894,1.1944444444444444,1.4028542333400145,1.4028542333400145,0.5,1.0,2.0,1.5714285714285716,0.5555555555555555,0.31180478223116165
