fw_ID,model,S_equ,connectance_equ,prop_basal_equ,mx_tl_equ,mean_FCL_equ,closed_loops_equ,isolated_equ,illogical_equ
adbm_1,ADBM,10,0.24,0.1,1.44,3.0833333333333335,0,0,
adbm_10,ADBM,7,0.20408163265306123,0.14285714285714285,1.3877551020408163,2.142857142857143,0,0,
adbm_100,ADBM,11,0.19008264462809918,0.18181818181818182,1.3140495867768593,3.8260869565217392,0,0,
adbm_11,ADBM,10,0.25,0.2,1.5299999999999998,2.9285714285714284,0,0,
adbm_12,ADBM,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
adbm_13,ADBM,8,0.1875,0.25,1.21875,3.25,0,0,
adbm_14,ADBM,7,0.14285714285714285,0.2857142857142857,1.204081632653061,2.25,0,0,
adbm_15,ADBM,13,0.34911242603550297,0.07692307692307693,1.7692307692307696,4.52,0,0,
adbm_16,ADBM,0,0.0,0.0,NaN,NaN,0,0,
adbm_17,ADBM,8,0.1875,0.125,1.546875,5.166666666666667,0,0,
adbm_18,ADBM,6,0.16666666666666666,0.3333333333333333,1.2499999999999998,2.0,0,0,
adbm_19,ADBM,6,0.2222222222222222,0.16666666666666666,1.3333333333333333,3.0,0,0,
adbm_2,ADBM,2,0.25,0.5,1.25,1.0,0,0,
adbm_20,ADBM,14,0.1836734693877551,0.14285714285714285,1.346938775510204,3.36734693877551,0,0,
adbm_21,ADBM,8,0.203125,0.125,1.40625,2.75,0,0,
adbm_22,ADBM,7,0.3877551020408163,0.2857142857142857,1.6530612244897955,2.6666666666666665,0,0,
adbm_23,ADBM,6,0.1388888888888889,0.5,1.1666666666666667,1.25,0,0,
adbm_24,ADBM,6,0.25,0.16666666666666666,1.4166666666666667,2.1666666666666665,0,0,
adbm_25,ADBM,6,0.2777777777777778,0.16666666666666666,1.4166666666666667,2.0,0,0,
adbm_26,ADBM,10,0.17,0.2,1.26,2.3333333333333335,0,0,
adbm_27,ADBM,8,0.3125,0.125,1.453125,2.3333333333333335,0,0,
adbm_28,ADBM,8,0.3125,0.125,1.453125,2.4,0,0,
adbm_29,ADBM,12,0.2222222222222222,0.16666666666666666,1.2569444444444444,4.157894736842105,0,0,
adbm_3,ADBM,12,0.1111111111111111,0.25,1.1458333333333333,2.4166666666666665,0,0,
adbm_30,ADBM,3,0.2222222222222222,0.3333333333333333,1.222222222222222,1.0,0,0,
