model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
LTM,15,0.2222222222222222,0.9042934865338847,1.3733333333333329,0.9665845613735583,0.4488079449258573,0.0,NaN,2.0,2.6585365853658542,0.6977777777777778,0.4327395198771335
ATN,15,0.12444444444444444,0.9255453973612093,1.208888888888889,0.6975070142911989,0.6674709676917568,0.26666666666666666,2.8333333333333335,3.0,2.923196678775298,0.40444444444444444,0.09511897312113415
ADBM,15,0.18666666666666668,0.8653120556939383,1.231111111111111,1.139024184683741,0.8451542547285167,0.26666666666666666,4.571428571428571,2.0,1.1706559473780376,0.5104761904761904,0.25579866905731874
LTM,15,0.28,0.8586975415121666,1.7199999999999998,0.6563832739090582,0.5106573949887433,0.0,NaN,3.0,2.4471436281587935,0.5497546897546897,0.5650333377873026
ATN,15,0.1511111111111111,0.9093377622077093,1.4,0.588760269942007,0.5646533589019275,0.13333333333333333,5.819571865443425,4.0,3.6592007362687586,0.373968253968254,0.21010329538498448
ADBM,15,0.29333333333333333,0.8207319699362466,1.3866666666666665,0.8667067771422315,0.8363777525629734,0.2,5.8166089965397925,2.0,1.7292239630852437,0.8072053872053871,0.24411434941808643
LTM,15,0.2311111111111111,0.8951495374659645,1.462222222222222,0.7383928539486744,0.34247125367576753,0.0,NaN,3.0,4.209578577810216,0.6904761904761904,0.40369294100225417
ATN,15,0.13333333333333333,0.9195696253283455,1.2177777777777778,0.8864052604279183,0.7559289460184544,0.2,2.576923076923077,2.0,2.0821917808219177,0.5244444444444444,0.148229224302835
ADBM,15,0.21333333333333335,0.8458496828221426,1.4844444444444445,1.2056877853384291,0.739509972887452,0.2,4.0,3.0,2.428978144974461,0.505906685906686,0.5301248050267499
LTM,15,0.27555555555555555,0.8643740754725584,1.5777777777777782,0.6895717092968099,0.4467313526516247,0.06666666666666667,0.0,2.0,3.2182207420130435,0.4994997594997594,0.46802200505411873
ATN,15,0.10666666666666667,0.9426094476178043,1.182222222222222,0.8451542547285166,0.9389869160810648,0.26666666666666666,4.408163265306122,3.0,1.4960380348652933,0.40444444444444444,0.24981474617685678
ADBM,15,0.17333333333333334,0.8716030892155942,1.2177777777777774,1.1792084397504534,0.7383928539486744,0.2,3.5,2.0,1.3805025505384472,0.3325396825396825,0.23767252495778313
LTM,15,0.2311111111111111,0.8985625758037658,1.528888888888889,0.6154704610452667,0.3594074441417152,0.0,NaN,3.0,4.3757409250939965,0.5276190476190477,0.3601016559450666
ATN,15,0.14222222222222222,0.9270233688360163,1.3377777777777777,0.7276237928549144,0.5840370967302873,0.13333333333333333,5.049180327868853,6.0,2.2829957655221675,0.3022222222222222,0.20769256297914448
ADBM,15,0.2,0.8371787121363876,1.262222222222222,1.1338934190276817,0.8451542547285166,0.26666666666666666,4.303921568627451,2.0,2.664856860809477,0.5563492063492064,0.2723469102196184
LTM,15,0.27555555555555555,0.8512623908219804,1.6177777777777778,0.6834817603880243,0.6711361008203106,0.0,NaN,2.0,4.299864715633198,0.5313468013468013,0.39476121658658875
ATN,15,0.1288888888888889,0.9422440178839964,1.2133333333333334,0.8844388258613561,0.49714660589133874,0.13333333333333333,5.296296296296297,2.0,2.686366296079579,0.5488888888888889,0.2434247528294792
ADBM,15,0.1688888888888889,0.8691541469490427,1.2355555555555557,1.2381212390601304,0.8682501540659899,0.2,5.758064516129032,2.0,2.17673754096983,0.5574603174603175,0.3081117127997677
LTM,15,0.27555555555555555,0.8605635120722188,1.577777777777778,0.6711361008203105,0.5845681607750656,0.0,NaN,3.0,1.6836815197833241,0.5957383357383357,0.5799609145762333
ATN,15,0.1511111111111111,0.9058320996079872,1.2577777777777779,0.8248039357190636,0.716568275825773,0.2,4.125,3.0,3.3933839964237817,0.31920634920634927,0.3264833904480642
ADBM,15,0.13333333333333333,0.9013316821847032,1.1733333333333331,1.3887301496588271,0.8660254037844386,0.2,4.444444444444445,3.0,1.4077966749474489,0.43354497354497357,0.3690725665597122
LTM,15,0.24444444444444444,0.8697281305697862,1.3333333333333333,0.7690899880256068,0.44536177141512334,0.0,NaN,2.0,3.49844722088411,0.7116646316646315,0.2649495783864696
ATN,15,0.1288888888888889,0.9372608377748939,1.2133333333333332,0.7933175979890333,0.5688535492156486,0.06666666666666667,6.618421052631579,1.0,2.0721716514954487,0.39968253968253964,0.2438964849020262
ADBM,15,0.19111111111111112,0.8573186441424161,1.3111111111111111,1.086180603103078,0.9310627524664297,0.2,4.8604651162790695,1.0,1.621541022262293,0.569047619047619,0.25761683345243724
LTM,15,0.27555555555555555,0.8579493365753738,1.5288888888888887,0.6956083436402524,0.6521795683598621,0.06666666666666667,5.265625,3.0,2.0448624065366534,0.6471428571428571,0.39002938535544046
ATN,15,0.10666666666666667,0.92531168254367,1.2355555555555555,0.811469126250126,0.7007648882267351,0.2,5.153846153846154,2.0,3.129301355578728,0.2822222222222222,0.3132603471372763
ADBM,15,0.18222222222222223,0.8620154528753833,1.2044444444444444,1.0841221390791602,0.9324057436589461,0.2,4.55,2.0,3.040619989310529,0.5177248677248678,0.21656345258905063
LTM,15,0.26666666666666666,0.8617068516010412,1.7644444444444443,0.7676494735787385,0.411877235523957,0.0,NaN,2.0,8.175541169753908,0.5007407407407407,0.5954588560222419
ATN,15,0.1288888888888889,0.915068014029067,1.2844444444444443,0.8170511719788857,0.6015099058271788,0.2,5.49171270718232,4.0,2.667294432598172,0.3111111111111111,0.3315882068413414
ADBM,15,0.1688888888888889,0.8723537178859347,1.24,1.247078104599352,0.8289026124688336,0.26666666666666666,4.806451612903226,2.0,1.8177413343272455,0.45597883597883604,0.33841083066498334
LTM,15,0.28444444444444444,0.8474653545578062,1.551111111111111,0.7167577201985939,0.40076134296842697,0.0,NaN,3.0,1.7945802080812974,0.5884463684463684,0.48602606965882705
ATN,15,0.14666666666666667,0.9084119567898651,1.2666666666666666,0.8960097823719656,0.7125125571088416,0.2,2.6666666666666665,3.0,1.5134649910233393,0.6022222222222222,0.25767674787862876
ADBM,15,0.1511111111111111,0.9089782664955657,1.3288888888888886,1.136669172064893,0.7357141657348164,0.13333333333333333,5.260869565217392,2.0,1.6014978320851405,0.445978835978836,0.36486621102930505
LTM,15,0.27111111111111114,0.877083203125131,1.6444444444444446,0.619768774293511,0.48709691895345497,0.0,NaN,2.0,3.878512503726422,0.7329100529100528,0.34790377554294677
ATN,15,0.1288888888888889,0.9188039267204442,1.2444444444444442,0.8401145302784924,0.6620073862988115,0.13333333333333333,5.979591836734694,4.0,2.50974930362117,0.28444444444444444,0.22001641974850217
ADBM,15,0.18666666666666668,0.8552314549864583,1.2444444444444442,1.2961593862326308,0.7777893469452859,0.2,5.104477611940299,2.0,1.8074866310160425,0.5324867724867725,0.3323795879355267
LTM,15,0.26666666666666666,0.8529699976681181,1.7155555555555553,0.7618117502750551,0.5976143046671968,0.0,NaN,3.0,5.048888995088508,0.5914285714285714,0.6348885652379723
ATN,15,0.16444444444444445,0.916949321365938,1.4400000000000002,0.6655613641569168,0.647682678419984,0.06666666666666667,6.236734693877551,1.0,3.8189462845374984,0.4953439153439153,0.32812751738869395
ADBM,15,0.2,0.8669799235388542,1.2044444444444444,1.023532631438318,0.9343531843023135,0.13333333333333333,6.769230769230769,1.0,1.912621359223301,0.5889947089947091,0.1767266907751153
LTM,15,0.27111111111111114,0.8852229879911856,1.7066666666666666,0.6470442466713815,0.4781476524711117,0.0,NaN,3.0,5.193878219833519,0.5096825396825396,0.5470414992876926
ATN,15,0.12444444444444444,0.9321252991199966,1.2266666666666666,0.753998089873925,0.7539980898739251,0.13333333333333333,6.333333333333333,2.0,1.809573361082206,0.3353968253968254,0.22624662813640412
ADBM,15,0.15555555555555556,0.8939070694198961,1.1777777777777776,1.272036085081422,0.7712017807220891,0.13333333333333333,4.526315789473684,2.0,1.6569199409573347,0.5190476190476191,0.26245981418423786
LTM,15,0.2222222222222222,0.8623753034820316,1.5155555555555553,0.7828519290754433,0.6866065623255951,0.06666666666666667,5.594444444444444,2.0,3.974599914575741,0.46550264550264553,0.4551563983278446
ATN,15,0.1111111111111111,0.9521235320043896,1.1866666666666665,0.8976158898517146,0.7406560798180412,0.2,4.5,2.0,1.9832261824539679,0.519047619047619,0.22777506773455572
ADBM,15,0.18666666666666668,0.8481598356378476,1.297777777777778,1.1627728997214077,0.8768981909650542,0.26666666666666666,3.0704225352112675,2.0,1.5592417061611374,0.521058201058201,0.3142464105692929
LTM,15,0.2577777777777778,0.8674350567448763,1.6755555555555555,0.7688517444384895,0.47754041145518517,0.0,NaN,3.0,3.825483117393023,0.6648148148148149,0.8493143979480196
ATN,15,0.12444444444444444,0.9286832473086989,1.2177777777777776,0.9024989602087321,0.7807122785044309,0.13333333333333333,6.7727272727272725,2.0,1.7725118483412325,0.27238095238095245,0.2965111654764532
ADBM,15,0.19555555555555557,0.8667717698815461,1.2488888888888887,1.2979299657477026,0.6373484957829127,0.13333333333333333,4.2631578947368425,2.0,1.6766866210731013,0.4577104377104377,0.3620083358654628
LTM,15,0.29777777777777775,0.8541095149754285,1.3155555555555554,0.4776785667814008,0.5475220686137979,0.0,NaN,1.0,2.026289226719842,0.596190476190476,0.15841950173376493
ATN,15,0.14222222222222222,0.9019063740557167,1.311111111111111,0.7695553273064349,0.8093172552484329,0.2,4.438095238095238,1.0,2.2346397398596616,0.23698412698412696,0.24447295369755268
ADBM,15,0.26666666666666666,0.817152963368968,1.5111111111111108,0.9543135154205277,0.8813544770895048,0.2,4.671232876712328,2.0,2.3406445081828915,0.6602693602693602,0.38870428763600795
LTM,15,0.24444444444444444,0.8671890134525382,1.5555555555555556,0.7551476239016431,0.5014736253586448,0.06666666666666667,0.0,3.0,4.59302329715336,0.5772486772486772,0.41343686477171254
ATN,15,0.13333333333333333,0.9174770667357796,1.1777777777777776,0.7319250547113999,0.7319250547113999,0.13333333333333333,5.179775280898877,3.0,3.237668161434979,0.49206349206349204,0.1822240911968446
ADBM,15,0.1288888888888889,0.9027278481702793,1.133333333333333,1.243635060518413,1.0966539593571927,0.2,4.2,2.0,1.6812313803376366,0.42529100529100533,0.18864887033335628
