fw_ID,model,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
ltm_1,LTM,15,0.3377777777777778,0.0,1.7244444444444444,NaN,8040,0,0
atn_1,ATN,15,0.1511111111111111,0.06666666666666667,1.2844444444444443,5.421052631578948,0,0,1
adbm_1,ADBM,15,0.13777777777777778,0.2,1.2355555555555555,3.2666666666666666,0,0,3
niche_1,Niche,15,0.2311111111111111,0.13333333333333333,1.368888888888889,4.858267716535433,0,0,
cascade_1,Cascade,15,0.19111111111111112,0.2,1.3244444444444448,3.629032258064516,0,0,
random_1,Random,15,0.21777777777777776,0.06666666666666667,1.2177777777777774,NaN,962,0,
maxent_1,MaxEnt,15,0.16,0.13333333333333333,1.191111111111111,3.75,41,1,
ltm_2,LTM,15,0.3288888888888889,0.0,1.6800000000000004,NaN,1848,0,0
atn_2,ATN,15,0.13333333333333333,0.06666666666666667,1.222222222222222,5.445544554455446,0,0,1
adbm_2,ADBM,15,0.21333333333333335,0.06666666666666667,1.2977777777777777,5.860759493670886,0,0,1
niche_2,Niche,15,0.21333333333333335,0.4,1.3199999999999998,2.7880794701986753,0,0,
cascade_2,Cascade,15,0.24444444444444444,0.06666666666666667,1.502222222222222,5.245454545454545,0,0,
random_2,Random,15,0.21333333333333335,0.06666666666666667,1.2133333333333334,NaN,1031,0,
maxent_2,MaxEnt,15,0.16444444444444445,0.06666666666666667,1.2622222222222221,3.2857142857142856,13,0,
ltm_3,LTM,15,0.25333333333333335,0.0,1.4400000000000002,NaN,1110,0,0
atn_3,ATN,15,0.11555555555555555,0.06666666666666667,1.1955555555555553,6.1,0,0,1
adbm_3,ADBM,15,0.1688888888888889,0.2,1.2577777777777777,5.406779661016949,0,2,2
niche_3,Niche,15,0.21333333333333335,0.13333333333333333,1.48,3.9707602339181287,0,0,
cascade_3,Cascade,15,0.22666666666666666,0.26666666666666666,1.5022222222222221,4.392491467576792,0,0,
random_3,Random,15,0.2577777777777778,0.0,1.2577777777777779,NaN,12148,0,
maxent_3,MaxEnt,15,0.19555555555555557,0.2,1.3599999999999999,4.666666666666667,111,0,
ltm_4,LTM,15,0.2088888888888889,0.06666666666666667,1.2888888888888888,1.6666666666666667,321,0,1
atn_4,ATN,15,0.12444444444444444,0.2,1.1688888888888889,2.1,0,0,3
adbm_4,ADBM,15,0.15555555555555556,0.3333333333333333,1.1911111111111112,4.08955223880597,0,1,4
niche_4,Niche,15,0.2311111111111111,0.3333333333333333,1.346666666666667,2.816666666666667,0,0,
cascade_4,Cascade,15,0.19111111111111112,0.06666666666666667,1.4177777777777778,5.078431372549019,0,0,
random_4,Random,15,0.22666666666666666,0.0,1.2266666666666663,NaN,818,0,
maxent_4,MaxEnt,15,0.1288888888888889,0.3333333333333333,1.1955555555555553,2.769230769230769,1,0,
ltm_5,LTM,15,0.3333333333333333,0.0,1.5866666666666667,NaN,5632,0,0
atn_5,ATN,15,0.10222222222222223,0.2,1.1866666666666665,5.7272727272727275,0,0,3
adbm_5,ADBM,15,0.21333333333333335,0.2,1.4666666666666663,3.3577981651376145,0,0,3
niche_5,Niche,15,0.13333333333333333,0.4,1.2133333333333334,1.8666666666666667,0,1,
cascade_5,Cascade,15,0.23555555555555555,0.13333333333333333,1.413333333333333,3.9555555555555557,0,0,
random_5,Random,15,0.26222222222222225,0.0,1.2622222222222221,NaN,4703,0,
maxent_5,MaxEnt,15,0.14666666666666667,0.2,1.2533333333333334,3.6774193548387095,4,1,
ltm_6,LTM,15,0.27111111111111114,0.26666666666666666,1.5555555555555558,4.0212765957446805,42,0,4
atn_6,ATN,15,0.10666666666666667,0.3333333333333333,1.1644444444444444,2.0833333333333335,0,0,5
adbm_6,ADBM,15,0.25333333333333335,0.13333333333333333,1.4488888888888887,3.99009900990099,0,1,1
niche_6,Niche,15,0.18222222222222223,0.2,1.3644444444444443,3.2564102564102564,0,0,
cascade_6,Cascade,15,0.21333333333333335,0.06666666666666667,1.4133333333333333,5.006711409395973,0,0,
random_6,Random,15,0.21333333333333335,0.0,1.2133333333333332,NaN,390,0,
maxent_6,MaxEnt,15,0.12444444444444444,0.4666666666666667,1.142222222222222,3.6666666666666665,8,1,
ltm_7,LTM,15,0.27555555555555555,0.0,1.3511111111111112,NaN,139,0,0
atn_7,ATN,15,0.13777777777777778,0.06666666666666667,1.2666666666666666,5.888412017167382,0,0,1
adbm_7,ADBM,15,0.16444444444444445,0.2,1.231111111111111,4.15,0,1,3
niche_7,Niche,15,0.1688888888888889,0.06666666666666667,1.2977777777777775,3.694915254237288,0,0,
cascade_7,Cascade,15,0.1688888888888889,0.13333333333333333,1.2533333333333332,4.208333333333333,0,0,
random_7,Random,15,0.18666666666666668,0.06666666666666667,1.2266666666666666,3.5,234,0,
maxent_7,MaxEnt,15,0.14666666666666667,0.26666666666666666,1.328888888888889,3.275,28,1,
ltm_8,LTM,15,0.3022222222222222,0.0,1.6888888888888889,NaN,1928,0,0
