run_ID,fw_ID,Model,S,BasalInput,ConnectanceInput,EmergentBasal,EmergentConnectance,AdjacencyMatrix,BodyMasses,MetabolicClasses
1,ltm_1_10,LTM,10,0.2570857679660084,,0.3,0.12,[0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 1 0 0 1; 0 0 0 1 0 0 0 1 0 0; 0 0 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 1 0; 0 0 0 0 0 0 0 1 1 0; 0 0 0 0 0 0 0 0 0 1; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 1 0 0 1; 1 0 0 0 0 0 0 0 0 0],"[105150.51148876213, 3.7594446333007387, 0.00041286367028014613, 0.0017729150560430592, 182.12935286016474, 4.840171351953182e-5, 21.118809635395145, 0.035931371824903566, 458.5758937691501, 15092.832452728575]","[:producer, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate]"
1,atn_1_10,ATN,10,0.2570857679660084,,0.4,0.09,[0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 1 0 0; 0 0 0 0 0 1 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 1 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 1 0 0 0; 0 0 0 0 1 0 0 0 1 0],"[105150.51148876213, 3.7594446333007387, 0.00041286367028014613, 0.0017729150560430592, 182.12935286016474, 4.840171351953182e-5, 21.118809635395145, 0.035931371824903566, 458.5758937691501, 15092.832452728575]","[:producer, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate]"
1,adbm_1_10,ADBM,10,0.2570857679660084,,0.4,0.16,[0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 1 0 0; 0 0 0 0 0 1 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 1 1 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 1 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 1 0 1 1 0 0; 0 1 0 0 1 0 1 1 1 0],"[105150.51148876213, 3.7594446333007387, 0.00041286367028014613, 0.0017729150560430592, 182.12935286016474, 4.840171351953182e-5, 21.118809635395145, 0.035931371824903566, 458.5758937691501, 15092.832452728575]","[:producer, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate]"
1,niche_1_10,Niche,10,,0.23812127228747937,0.4,0.2,[0 0 0 0 1 1 0 0 0 0; 0 0 0 1 0 0 0 0 0 0; 0 1 0 1 0 0 1 1 1 1; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 1 0 1 1; 0 0 0 0 0 0 0 0 0 0; 0 1 0 1 0 0 1 0 1 1; 0 0 0 0 0 0 0 0 0 0; 0 1 0 1 0 0 0 0 0 0],,
1,cascade_1_10,Cascade,10,,0.23812127228747937,0.2,0.21,[0 0 0 1 1 1 0 1 0 1; 0 0 0 0 0 0 0 1 0 0; 0 1 0 0 0 0 0 0 0 1; 0 0 1 0 0 0 0 0 1 1; 0 0 0 1 0 0 1 1 0 1; 0 0 0 0 0 0 0 0 0 0; 0 0 1 0 0 0 0 0 1 1; 0 0 0 0 0 0 0 0 0 1; 0 1 0 0 0 0 0 0 0 1; 0 0 0 0 0 0 0 0 0 0],,
1,random_1_10,Random,10,,0.23812127228747937,0.1,0.24,[0 0 1 1 1 0 0 0 0 0; 0 0 1 1 1 0 1 0 0 0; 0 0 0 0 1 0 0 0 1 0; 0 0 0 0 0 0 0 0 0 0; 0 1 1 0 0 0 0 0 1 1; 0 0 0 1 0 0 0 0 0 0; 0 1 0 1 0 0 0 1 0 0; 0 1 0 1 1 0 0 0 0 1; 0 0 0 1 0 0 0 0 0 0; 1 0 0 0 0 1 0 0 0 0],,
1,maxent_1_10,MaxEnt,10,,0.23812127228747937,0.4,0.17,[0 0 0 1 0 0 0 0 0 0; 0 0 0 0 1 0 0 1 0 0; 0 0 0 0 0 0 0 0 0 0; 1 0 1 0 1 0 0 1 1 0; 0 0 0 0 0 0 0 0 0 0; 1 0 0 1 0 0 0 1 0 0; 0 0 0 1 0 0 0 0 0 0; 0 0 0 1 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 0 0; 1 0 0 1 1 0 0 0 0 0],,
2,ltm_2_10,LTM,10,0.20240252507554835,,0.3,0.12,[0 0 0 0 0 0 0 0 0 1; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 1; 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 0 0 0 0 1 0; 0 0 0 0 1 0 0 0 0 0; 1 1 1 0 0 1 0 1 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 0 0 0 0 0 0; 0 0 0 0 0 1 0 0 0 0],"[0.00022387513641382393, 6.461429471592035e-6, 5.706529115274506e-5, 24302.39271071425, 3651.061873023584, 8.246654021677394, 8.5984773420482e-5, 0.05988737825389896, 8614.203731527314, 0.026500162918470085]","[:invertebrate, :producer, :invertebrate, :invertebrate, :invertebrate, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate]"
2,atn_2_10,ATN,10,0.20240252507554835,,0.3,0.11,[0 1 1 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 1 0 0 0 0 0; 0 0 0 0 0 1 0 0 0 0; 0 0 0 0 0 0 0 1 0 1; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 1 0 1 0 0 0 1 0 0 0],"[0.00022387513641382393, 6.461429471592035e-6, 5.706529115274506e-5, 24302.39271071425, 3651.061873023584, 8.246654021677394, 8.5984773420482e-5, 0.05988737825389896, 8614.203731527314, 0.026500162918470085]","[:invertebrate, :producer, :invertebrate, :invertebrate, :invertebrate, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate]"
2,adbm_2_10,ADBM,10,0.20240252507554835,,0.2,0.17,[0 0 1 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 1 1 0 1 1 1; 0 0 0 0 0 1 0 1 0 1; 0 0 0 0 0 0 0 1 0 1; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 1 0 1 0 1; 1 0 0 0 0 0 0 0 0 0],"[0.00022387513641382393, 6.461429471592035e-6, 5.706529115274506e-5, 24302.39271071425, 3651.061873023584, 8.246654021677394, 8.5984773420482e-5, 0.05988737825389896, 8614.203731527314, 0.026500162918470085]","[:invertebrate, :producer, :invertebrate, :invertebrate, :invertebrate, :invertebrate, :invertebrate, :producer, :invertebrate, :invertebrate]"
