fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_100_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_100_20,ADBM,2,0.25,2.0,0,0,0
adbm_100_40,ADBM,4,0.125,2.0,0,0,0
adbm_10_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_10_20,ADBM,,,,,,
adbm_10_40,ADBM,,,,,,
adbm_11_10,ADBM,4,0.375,2.833333333333333,0,0,0
adbm_11_20,ADBM,3,0.2222222222222222,2.0,0,0,0
adbm_11_40,ADBM,10,0.07,5.0,0,0,0
adbm_12_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_12_20,ADBM,,,,,,
adbm_12_40,ADBM,8,0.0625,2.0,0,0,0
adbm_13_10,ADBM,2,0.25,2.0,0,0,0
adbm_13_20,ADBM,10,0.13,4.0,0,0,0
adbm_13_40,ADBM,14,0.29081632653061223,2.833472222222222,0,0,0
adbm_14_10,ADBM,2,0.25,2.0,0,0,0
adbm_14_20,ADBM,,,,,,
adbm_14_40,ADBM,2,0.25,2.0,0,0,0
adbm_15_10,ADBM,2,0.25,2.0,0,0,0
adbm_15_20,ADBM,,,,,,
adbm_15_40,ADBM,13,0.05325443786982249,5.0,0,0,0
adbm_16_10,ADBM,5,0.24,3.6666666666666665,0,0,0
adbm_16_20,ADBM,2,0.25,2.0,0,0,0
adbm_16_40,ADBM,6,0.1388888888888889,4.0,0,0,0
adbm_17_10,ADBM,,,,,,
adbm_17_20,ADBM,8,0.09375,3.0,0,0,0
adbm_17_40,ADBM,8,0.125,3.0,0,0,0
adbm_18_10,ADBM,4,0.125,2.0,0,0,0
adbm_18_20,ADBM,7,0.1836734693877551,2.5833333333333335,0,0,0
adbm_18_40,ADBM,11,0.19834710743801653,3.25,0,0,0
adbm_19_10,ADBM,7,0.08163265306122448,3.0,0,0,0
adbm_19_20,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_19_40,ADBM,11,0.1487603305785124,3.0,0,0,0
adbm_1_10,ADBM,5,0.4,3.083333333333333,0,0,0
adbm_1_20,ADBM,5,0.12,3.0,0,0,0
adbm_1_40,ADBM,4,0.125,2.0,0,0,0
adbm_20_10,ADBM,5,0.12,3.0,0,0,0
adbm_20_20,ADBM,2,0.25,2.0,0,0,0
adbm_20_40,ADBM,2,0.25,2.0,0,0,0
adbm_21_10,ADBM,4,0.1875,4.0,0,0,0
adbm_21_20,ADBM,2,0.25,2.0,0,0,0
adbm_21_40,ADBM,11,0.06611570247933884,3.0,0,0,0
adbm_22_10,ADBM,4,0.3125,2.333333333333333,0,0,0
adbm_22_20,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_22_40,ADBM,6,0.08333333333333333,2.0,0,0,0
adbm_23_10,ADBM,2,0.25,2.0,0,0,0
adbm_23_20,ADBM,4,0.1875,3.0,0,0,0
adbm_23_40,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_24_10,ADBM,2,0.25,2.0,0,0,0
adbm_24_20,ADBM,2,0.25,2.0,0,0,0
adbm_24_40,ADBM,11,0.06611570247933884,3.0,0,0,0
adbm_25_10,ADBM,4,0.1875,4.0,0,0,0
adbm_25_20,ADBM,11,0.14049586776859505,2.9333333333333336,0,0,0
adbm_25_40,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_26_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_26_20,ADBM,8,0.296875,2.85,0,0,0
adbm_26_40,ADBM,,,,,,
adbm_27_10,ADBM,,,,,,
adbm_27_20,ADBM,7,0.10204081632653061,3.0,0,0,0
adbm_27_40,ADBM,8,0.078125,3.0,0,0,0
adbm_28_10,ADBM,2,0.25,2.0,0,0,0
adbm_28_20,ADBM,4,0.1875,3.0,0,0,0
adbm_28_40,ADBM,11,0.0743801652892562,5.0,0,0,0
adbm_29_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_29_20,ADBM,8,0.109375,4.0,0,0,0
adbm_29_40,ADBM,,,,,,
adbm_2_10,ADBM,2,0.25,2.0,0,0,0
adbm_2_20,ADBM,8,0.125,3.25,0,0,0
adbm_2_40,ADBM,4,0.125,2.0,0,0,0
adbm_30_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_30_20,ADBM,7,0.24489795918367346,2.3750000000000004,0,0,0
adbm_30_40,ADBM,8,0.09375,3.0,0,0,0
adbm_31_10,ADBM,2,0.25,2.0,0,0,0
adbm_31_20,ADBM,6,0.1111111111111111,4.0,0,0,0
adbm_31_40,ADBM,,,,,,
adbm_32_10,ADBM,5,0.12,3.0,0,0,0
adbm_32_20,ADBM,2,0.25,2.0,0,0,0
adbm_32_40,ADBM,,,,,,
adbm_33_10,ADBM,4,0.25,3.5,0,0,0
adbm_33_20,ADBM,4,0.125,2.0,0,0,0
adbm_33_40,ADBM,15,0.16,2.5498236331569664,0,0,0
adbm_34_10,ADBM,4,0.1875,4.0,0,0,0
adbm_34_20,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_34_40,ADBM,5,0.12,3.0,0,0,0
adbm_35_10,ADBM,5,0.16,5.0,0,0,0
adbm_35_20,ADBM,,,,,,
adbm_35_40,ADBM,,,,,,
adbm_36_10,ADBM,4,0.3125,2.6666666666666665,0,0,0
adbm_36_20,ADBM,,,,,,
adbm_36_40,ADBM,16,0.06640625,5.0,0,0,0
adbm_37_10,ADBM,2,0.25,2.0,0,0,0
adbm_37_20,ADBM,,,,,,
adbm_37_40,ADBM,6,0.16666666666666666,4.0,0,0,0
adbm_38_10,ADBM,,,,,,
adbm_38_20,ADBM,,,,,,
adbm_38_40,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_39_10,ADBM,5,0.16,4.0,0,0,0
adbm_39_20,ADBM,4,0.1875,3.0,0,0,0
adbm_39_40,ADBM,10,0.07,4.0,0,0,0
adbm_3_10,ADBM,,,,,,
adbm_3_20,ADBM,5,0.16,2.5,0,0,0
adbm_3_40,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_40_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_40_20,ADBM,4,0.25,3.0,0,0,0
adbm_40_40,ADBM,7,0.10204081632653061,3.0,0,0,0
adbm_41_10,ADBM,5,0.32,2.8333333333333335,0,0,0
adbm_41_20,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_41_40,ADBM,,,,,,
adbm_42_10,ADBM,,,,,,
adbm_42_20,ADBM,9,0.19753086419753085,3.2777777777777777,0,0,0
adbm_42_40,ADBM,15,0.05333333333333334,5.0,0,0,0
