fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
ltm_1_10,LTM,10,0.06,3.5,0,5,3
atn_1_10,ATN,10,0.09,4.5,0,2,1
adbm_1_10,ADBM,10,0.16,3.283333333333333,0,2,1
niche_1_10,Niche,10,0.15,3.65625,0,1,
cascade_1_10,Cascade,10,0.21,3.2777777777777777,3,0,
random_1_10,Random,10,0.24,5.907663040609533e16,2,0,
maxent_1_10,MaxEnt,10,0.17,1.05316455696202,1,0,
ltm_2_10,LTM,10,0.19,4.15625,0,0,1
atn_2_10,ATN,10,0.09,2.75,0,1,4
adbm_2_10,ADBM,10,0.27,3.3095238095238098,0,0,1
niche_2_10,Niche,10,0.21,3.5416666666666665,0,1,
cascade_2_10,Cascade,10,0.3,3.782857142857143,6,0,
random_2_10,Random,10,0.28,3.907618622600202e16,9,0,
maxent_2_10,MaxEnt,10,0.18,4.982758620689655,2,0,
ltm_3_10,LTM,10,0.09,2.000000000000001,0,3,2
atn_3_10,ATN,10,0.06,2.5,0,2,4
adbm_3_10,ADBM,10,0.13,3.0,0,0,2
niche_3_10,Niche,10,0.06,2.0,0,2,
cascade_3_10,Cascade,10,0.1,3.0,0,0,
random_3_10,Random,10,0.09,4.0,1,2,
maxent_3_10,MaxEnt,10,0.06,3.0,0,3,
ltm_4_10,LTM,10,0.05,3.5,0,4,3
atn_4_10,ATN,10,0.08,4.0,0,0,1
adbm_4_10,ADBM,10,0.19,5.0,0,0,0
niche_4_10,Niche,10,0.08,2.6666666666666665,0,3,
cascade_4_10,Cascade,10,0.06,3.0,0,4,
random_4_10,Random,10,0.11,3.3333333333333335,0,0,
maxent_4_10,MaxEnt,10,0.08,3.0,0,3,
ltm_5_10,LTM,10,0.18,8.333333333333334,0,2,2
atn_5_10,ATN,10,0.19,4.388888888888888,0,2,1
adbm_5_10,ADBM,10,0.31,4.283333333333333,0,1,0
niche_5_10,Niche,10,0.13,3.722222222222222,0,3,
cascade_5_10,Cascade,10,0.29,4.0,3,0,
random_5_10,Random,10,0.26,1.863752793864053e16,5,0,
maxent_5_10,MaxEnt,10,0.24,30.99999999999999,5,0,
ltm_6_10,LTM,10,0.06,5.0,0,3,3
atn_6_10,ATN,10,0.1,6.0,0,0,0
adbm_6_10,ADBM,10,0.18,3.321428571428571,0,0,0
niche_6_10,Niche,10,0.09,3.0,0,1,
cascade_6_10,Cascade,10,0.13,2.833333333333334,2,1,
random_6_10,Random,10,0.15,6.545454545454545,0,0,
maxent_6_10,MaxEnt,10,0.09,3.25,1,2,
ltm_7_10,LTM,10,0.25,4.284722222222222,1,0,1
atn_7_10,ATN,10,0.1,5.0,0,0,1
adbm_7_10,ADBM,10,0.19,4.333333333333334,0,0,1
niche_7_10,Niche,10,0.24,2.333333333333333,0,1,
cascade_7_10,Cascade,10,0.12,3.166666666666667,0,1,
random_7_10,Random,10,0.14,6.0,0,0,
maxent_7_10,MaxEnt,10,0.07,2.0000000000000018,0,4,
ltm_8_10,LTM,10,0.18,2.588235294117647,0,1,3
atn_8_10,ATN,10,0.15,4.222222222222222,0,2,1
adbm_8_10,ADBM,10,0.29,3.17063492063492,0,1,0
niche_8_10,Niche,10,0.12,2.5,0,0,
cascade_8_10,Cascade,10,0.16,5.75,1,0,
random_8_10,Random,10,0.22,8.246913580246915,4,1,
maxent_8_10,MaxEnt,10,0.05,2.0,0,4,
ltm_9_10,LTM,10,0.21,6.0,2,1,0
atn_9_10,ATN,10,0.11,6.166666666666666,0,1,1
adbm_9_10,ADBM,10,0.17,4.916666666666666,0,2,1
niche_9_10,Niche,10,0.03,2.0,0,5,
cascade_9_10,Cascade,10,0.05,3.0,0,4,
random_9_10,Random,10,0.06,2.3333333333333335,0,3,
maxent_9_10,MaxEnt,10,0.06,2.0,0,4,
ltm_10_10,LTM,10,0.17,1.3351990049751243,0,1,0
atn_10_10,ATN,10,0.15,6.166666666666665,0,0,0
adbm_10_10,ADBM,10,0.22,5.416666666666666,0,1,0
niche_10_10,Niche,10,0.35,3.458333333333333,0,0,
cascade_10_10,Cascade,10,0.27,3.1875,4,0,
random_10_10,Random,10,0.28,10.499586776859505,6,0,
maxent_10_10,MaxEnt,10,0.18,6.7534246575342465,5,1,
ltm_11_10,LTM,10,0.1,2.75,0,2,5
atn_11_10,ATN,10,0.13,3.851851851851852,0,0,3
adbm_11_10,ADBM,10,0.24,3.707142857142857,0,1,2
niche_11_10,Niche,10,0.25,2.4345238095238093,0,0,
cascade_11_10,Cascade,10,0.29,3.405555555555555,3,0,
random_11_10,Random,10,0.26,-4.5170259331215864e16,7,0,
maxent_11_10,MaxEnt,10,0.21,3.738095238095238,4,0,
ltm_12_10,LTM,10,0.13,4.0,0,0,2
atn_12_10,ATN,10,0.09,3.25,0,1,3
adbm_12_10,ADBM,10,0.16,4.116666666666666,0,1,1
niche_12_10,Niche,10,0.19,3.25,0,2,
cascade_12_10,Cascade,10,0.26,3.3368055555555562,4,0,
random_12_10,Random,10,0.27,72.60784313725489,6,0,
maxent_12_10,MaxEnt,10,0.24,5.516666666666667,6,0,
ltm_13_10,LTM,10,0.24,3.48509485094851,1,0,1
atn_13_10,ATN,10,0.11,2.6666666666666665,0,0,3
adbm_13_10,ADBM,10,0.12,2.9166666666666665,0,1,2
niche_13_10,Niche,10,0.05,2.0,0,4,
cascade_13_10,Cascade,10,0.12,3.1666666666666665,0,0,
random_13_10,Random,10,0.14,4.0,1,0,
maxent_13_10,MaxEnt,10,0.07,5.0,0,3,
ltm_14_10,LTM,10,0.26,17.299999999999994,0,1,0
atn_14_10,ATN,10,0.1,4.0,0,1,1
adbm_14_10,ADBM,10,0.25,4.0,0,0,0
niche_14_10,Niche,10,0.1,2.0,0,2,
cascade_14_10,Cascade,10,0.09,3.0,0,1,
random_14_10,Random,10,0.08,7.666666666666664,0,3,
maxent_14_10,MaxEnt,10,0.09,3.25,1,1,
ltm_15_10,LTM,10,0.21,5.666666666666665,1,0,0
atn_15_10,ATN,10,0.11,3.0000000000000004,0,0,0
adbm_15_10,ADBM,10,0.2,3.0,0,0,0
niche_15_10,Niche,10,0.1,4.0,0,2,
cascade_15_10,Cascade,10,0.14,3.0,1,0,
random_15_10,Random,10,0.13,4.0,0,0,
maxent_15_10,MaxEnt,10,0.09,4.5,0,3,
ltm_16_10,LTM,10,0.21,8.375,0,0,1
atn_16_10,ATN,10,0.18,3.2222222222222223,0,0,3
adbm_16_10,ADBM,10,0.32,3.9678571428571434,0,1,1
niche_16_10,Niche,10,0.19,4.25,0,0,
cascade_16_10,Cascade,10,0.22,3.2750000000000004,2,0,
random_16_10,Random,10,0.26,9.93632075471698,5,0,
maxent_16_10,MaxEnt,10,0.15,2.0,2,0,
ltm_17_10,LTM,10,0.19,3.6136363636363638,1,0,1
atn_17_10,ATN,10,0.12,4.25,0,1,2
adbm_17_10,ADBM,10,0.22,5.5,0,0,0
niche_17_10,Niche,10,0.06,2.5,0,5,
cascade_17_10,Cascade,10,0.15,2.5,2,0,
random_17_10,Random,10,0.19,30.08333333333334,2,0,
maxent_17_10,MaxEnt,10,0.14,3.0,2,0,
