Model,fw_ID,run_ID,robustness
LTM,ltm_1_10,1,0.2
ATN,atn_1_10,1,0.26
ADBM,adbm_1_10,1,0.35
Niche,niche_1_10,1,0.5
Cascade,cascade_1_10,1,0.35000000000000003
Random,random_1_10,1,0.26666666666666666
MaxEnt,maxent_1_10,1,0.35000000000000003
LTM,ltm_2_10,2,0.25
ATN,atn_2_10,2,0.25
ADBM,adbm_2_10,2,0.5
Niche,niche_2_10,2,0.4
Cascade,cascade_2_10,2,0.5
Random,random_2_10,2,0.4166666666666667
MaxEnt,maxent_2_10,2,0.5
LTM,ltm_3_10,3,0.3
ATN,atn_3_10,3,0.35000000000000003
ADBM,adbm_3_10,3,0.35000000000000003
Niche,niche_3_10,3,0.5
Cascade,cascade_3_10,3,0.25
Random,random_3_10,3,0.18000000000000002
MaxEnt,maxent_3_10,3,0.3
LTM,ltm_4_10,4,0.2
ATN,atn_4_10,4,0.2
ADBM,adbm_4_10,4,0.325
Niche,niche_4_10,4,0.5
Cascade,cascade_4_10,4,0.3666666666666667
Random,random_4_10,4,0.45
MaxEnt,maxent_4_10,4,0.3
LTM,ltm_5_10,5,0.5
ATN,atn_5_10,5,0.25
ADBM,adbm_5_10,5,0.5
Niche,niche_5_10,5,0.5
Cascade,cascade_5_10,5,0.5
Random,random_5_10,5,0.3666666666666667
MaxEnt,maxent_5_10,5,0.4
LTM,ltm_6_10,6,0.4
ATN,atn_6_10,6,0.23750000000000002
ADBM,adbm_6_10,6,0.3
Niche,niche_6_10,6,0.4
Cascade,cascade_6_10,6,0.5
Random,random_6_10,6,0.16666666666666669
MaxEnt,maxent_6_10,6,0.325
LTM,ltm_7_10,7,0.5
ATN,atn_7_10,7,0.08333333333333334
ADBM,adbm_7_10,7,0.5
Niche,niche_7_10,7,0.5
Cascade,cascade_7_10,7,0.3
Random,random_7_10,7,0.2
MaxEnt,maxent_7_10,7,0.5
LTM,ltm_8_10,8,0.5
ATN,atn_8_10,8,0.45
ADBM,adbm_8_10,8,0.4
Niche,niche_8_10,8,0.5
Cascade,cascade_8_10,8,0.07142857142857144
Random,random_8_10,8,0.5
MaxEnt,maxent_8_10,8,0.5
LTM,ltm_9_10,9,0.5
ATN,atn_9_10,9,0.4
ADBM,adbm_9_10,9,0.16666666666666669
Niche,niche_9_10,9,0.35000000000000003
Cascade,cascade_9_10,9,0.4
Random,random_9_10,9,0.5
MaxEnt,maxent_9_10,9,0.5
LTM,ltm_10_10,10,0.425
ATN,atn_10_10,10,0.325
ADBM,adbm_10_10,10,0.23750000000000002
Niche,niche_10_10,10,0.22857142857142856
Cascade,cascade_10_10,10,0.5
Random,random_10_10,10,0.5
MaxEnt,maxent_10_10,10,0.5
LTM,ltm_11_10,11,0.45
ATN,atn_11_10,11,0.3
ADBM,adbm_11_10,11,0.3
Niche,niche_11_10,11,0.3666666666666667
Cascade,cascade_11_10,11,0.5
Random,random_11_10,11,0.25
MaxEnt,maxent_11_10,11,0.5
LTM,ltm_12_10,12,0.5
ATN,atn_12_10,12,0.3
ADBM,adbm_12_10,12,0.425
Niche,niche_12_10,12,0.34
Cascade,cascade_12_10,12,0.5
Random,random_12_10,12,0.4
MaxEnt,maxent_12_10,12,0.4
LTM,ltm_13_10,13,0.5
ATN,atn_13_10,13,0.4
ADBM,adbm_13_10,13,0.3
Niche,niche_13_10,13,0.5
Cascade,cascade_13_10,13,0.4
Random,random_13_10,13,0.275
MaxEnt,maxent_13_10,13,0.4
LTM,ltm_14_10,14,0.34
ATN,atn_14_10,14,0.3666666666666667
ADBM,adbm_14_10,14,0.23750000000000002
Niche,niche_14_10,14,0.5
Cascade,cascade_14_10,14,0.275
Random,random_14_10,14,0.35000000000000003
MaxEnt,maxent_14_10,14,0.5
LTM,ltm_15_10,15,0.45
ATN,atn_15_10,15,0.43333333333333335
ADBM,adbm_15_10,15,0.35
Niche,niche_15_10,15,0.32
Cascade,cascade_15_10,15,0.5
Random,random_15_10,15,0.2
MaxEnt,maxent_15_10,15,0.4
LTM,ltm_16_10,16,0.3
ATN,atn_16_10,16,0.4
ADBM,adbm_16_10,16,0.05555555555555556
Niche,niche_16_10,16,0.32857142857142857
Cascade,cascade_16_10,16,0.5
Random,random_16_10,16,0.3
MaxEnt,maxent_16_10,16,0.4
LTM,ltm_17_10,17,0.15000000000000002
ATN,atn_17_10,17,0.2
ADBM,adbm_17_10,17,0.16666666666666669
Niche,niche_17_10,17,0.5
Cascade,cascade_17_10,17,0.5
Random,random_17_10,17,0.3333333333333333
MaxEnt,maxent_17_10,17,0.5
LTM,ltm_18_10,18,0.4
ATN,atn_18_10,18,0.43333333333333335
ADBM,adbm_18_10,18,0.2
Niche,niche_18_10,18,0.35
Cascade,cascade_18_10,18,0.5
Random,random_18_10,18,0.4
MaxEnt,maxent_18_10,18,0.35000000000000003
LTM,ltm_19_10,19,0.3666666666666667
ATN,atn_19_10,19,0.25
ADBM,adbm_19_10,19,0.4
Niche,niche_19_10,19,0.2
Cascade,cascade_19_10,19,0.45
Random,random_19_10,19,0.3
MaxEnt,maxent_19_10,19,0.15
LTM,ltm_20_10,20,0.43333333333333335
ATN,atn_20_10,20,0.5
ADBM,adbm_20_10,20,0.18000000000000002
Niche,niche_20_10,20,0.24
Cascade,cascade_20_10,20,0.5
Random,random_20_10,20,0.32857142857142857
MaxEnt,maxent_20_10,20,0.4
LTM,ltm_21_10,21,0.5
ATN,atn_21_10,21,0.4
ADBM,adbm_21_10,21,0.05555555555555556
Niche,niche_21_10,21,0.35
Cascade,cascade_21_10,21,0.3
Random,random_21_10,21,0.5
MaxEnt,maxent_21_10,21,0.4
LTM,ltm_22_10,22,0.5
ATN,atn_22_10,22,0.5
ADBM,adbm_22_10,22,0.3
Niche,niche_22_10,22,0.22857142857142856
Cascade,cascade_22_10,22,0.4
Random,random_22_10,22,0.4
MaxEnt,maxent_22_10,22,0.35000000000000003
LTM,ltm_23_10,23,0.4
ATN,atn_23_10,23,0.3666666666666667
ADBM,adbm_23_10,23,0.07142857142857144
Niche,niche_23_10,23,0.16666666666666669
Cascade,cascade_23_10,23,0.3
Random,random_23_10,23,0.3
MaxEnt,maxent_23_10,23,0.3666666666666667
LTM,ltm_24_10,24,0.4
ATN,atn_24_10,24,0.26
ADBM,adbm_24_10,24,0.4
Niche,niche_24_10,24,0.34
Cascade,cascade_24_10,24,0.5
Random,random_24_10,24,0.25
MaxEnt,maxent_24_10,24,0.35000000000000003
LTM,ltm_25_10,25,0.5
ATN,atn_25_10,25,0.08333333333333334
ADBM,adbm_25_10,25,0.3333333333333333
Niche,niche_25_10,25,0.2
Cascade,cascade_25_10,25,0.5
Random,random_25_10,25,0.35000000000000003
MaxEnt,maxent_25_10,25,0.3
LTM,ltm_26_10,26,0.35000000000000003
ATN,atn_26_10,26,0.275
ADBM,adbm_26_10,26,0.12
Niche,niche_26_10,26,0.5
Cascade,cascade_26_10,26,0.4
Random,random_26_10,26,0.3
MaxEnt,maxent_26_10,26,0.5
LTM,ltm_27_10,27,0.5
ATN,atn_27_10,27,0.425
ADBM,adbm_27_10,27,0.23333333333333334
Niche,niche_27_10,27,0.3
Cascade,cascade_27_10,27,0.3666666666666667
Random,random_27_10,27,0.4
MaxEnt,maxent_27_10,27,0.4
LTM,ltm_28_10,28,0.4
ATN,atn_28_10,28,0.3666666666666667
ADBM,adbm_28_10,28,0.3
Niche,niche_28_10,28,0.14444444444444446
Cascade,cascade_28_10,28,0.5
Random,random_28_10,28,0.31666666666666665
MaxEnt,maxent_28_10,28,0.4
LTM,ltm_29_10,29,0.5
ATN,atn_29_10,29,0.3666666666666667
ADBM,adbm_29_10,29,0.4
Niche,niche_29_10,29,0.5
Cascade,cascade_29_10,29,0.3333333333333333
Random,random_29_10,29,0.5
MaxEnt,maxent_29_10,29,0.3
LTM,ltm_30_10,30,0.5
ATN,atn_30_10,30,0.4
ADBM,adbm_30_10,30,0.4
Niche,niche_30_10,30,0.3
Cascade,cascade_30_10,30,0.5
Random,random_30_10,30,0.35
MaxEnt,maxent_30_10,30,0.25
LTM,ltm_31_10,31,0.43333333333333335
ATN,atn_31_10,31,0.4
