metric,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,contribution
l_S,0.2584936390092235,0.16451570554287356,0.05916340823790642,-0.13944088080769954,-0.009123414641753017,-0.04527125152065521,-0.04181828804221134,0.019452003953545294,0.05189200892484645,-0.01587086400914056,0.11231238440074848,-0.03223962918430869,-0.009889789792966463,-0.004892380098934267,0.08206446419562753,0.0439581921589014,0.008330296723590726,0.02434148512129619,0.013424079368646105,0.06651610720486582,0.0029188994095662667,0.033824158011360614,-0.03633330701693405,0.022106929605401383,8.258595328699977e-4,-0.026103821419491444,0.0019352839807464928,0.038714763698143105,0.26365778445868093,-0.8795435700004357,5.146911703588663e-16,10.648564841458255
ChLen,0.2583117752606879,-0.1126845888363467,-0.02600637386648948,0.03758091945860513,0.02030766699889366,-0.04864519779669041,0.06358234935192773,-0.013236160670451842,0.007903280540352085,0.06554045978642273,0.08720868901404559,-0.14090428882671086,0.050594192319347225,-0.13837401594844184,-0.25987414904159517,-0.03567587260005208,-0.27304489824275763,-0.07473529433959823,0.155704813351614,0.3742925101885983,0.23703701808447328,0.13636873252152987,0.1938083722297738,-0.4997331167488742,0.14277184877586765,-0.10668355084732009,0.03871951145260111,-0.35785015970917733,-0.14563044277044934,-0.008664112221221964,-9.440715806822419e-18,10.589357649723356
ChNum,0.2605948698653617,0.015342525750037932,0.09424715128528949,-0.1343036216020405,0.014560301532064794,-0.01602379553193586,0.0947497838171299,-0.06486350111551377,-0.03794691234670078,0.10124126261212223,-0.0020442549917680454,0.055729842162344785,0.1875386593782251,-0.12752895014177407,0.04635514205696782,0.1496169537471329,-0.16956289882408768,-0.006830424283026255,0.03685886295516703,0.24925304131082918,0.0687995659600196,0.09627415496076293,-0.06265150944443329,-0.12970731417467074,0.08149913420942975,0.250076374263567,-0.041767873198736975,0.6562926820589071,0.33230819820338015,0.2477990011285812,-1.1166653303182348e-16,10.584613903984767
omnivory,0.2567076980230309,-0.01478301701510677,-0.04396040272369458,0.09440218313332586,0.010411486036799074,-0.052348562428488864,-0.04297747368149588,0.03140040222859559,-0.20064997202469598,0.017425998522103164,-0.1945986722096988,0.005856901794884864,0.18244973487431249,0.14384473756735666,-0.10472807935042419,0.32080243261735625,-0.16334257586383508,-0.05928806012889426,-0.140249588198459,-0.15989280818769802,0.23769998454853944,0.0757677811185437,0.11639596805817651,0.28487730870222905,-0.16061802668850558,0.49410010356865913,-0.2142557758571834,-0.34134550379589346,0.07891734351610852,0.00825422385629401,3.0768764283477887e-16,10.426397515370915
links,0.24057390450621854,0.12571377466852357,0.06807994310641144,-0.25767414573056585,0.003797744087928149,-0.012421639260093927,-0.032014115204936376,0.016656641126542814,0.12011841061174632,-0.03715486170942569,0.13659240230861,-0.027867666747363917,0.016868357724482017,-0.15341341051420218,0.11483246527149668,0.09597252043487603,0.09713121529513478,0.05392750451426114,0.011280366180375525,0.03372395775382777,-0.09397738665768994,-0.06812516484032087,-0.306926139958818,0.11764524681090653,0.044816716141042455,-0.2027529417945607,0.11323958446325859,-0.47544543697216674,0.49267085918501213,0.3354406136390284,-1.9949169492229465e-17,9.882969873230447
intermediate,0.24319715301873562,-0.009726211145181208,-0.16369685467309625,0.23134892843233767,-0.004664240424690971,0.04224315367478458,0.00858583783013745,-0.004625671968294092,0.13574579196687836,-0.015951676006436332,0.05955430272616225,0.12305159945747408,-0.18252395707431138,-0.04898364815096815,0.0299440520667415,-0.17356312470533578,-0.23509909047791436,-0.10247583079644147,-0.013445537813487488,-0.17703796850105333,0.10812149403812256,0.010338733292247474,-0.008346551418185579,0.11412868171414371,-0.05110646183361075,-0.13477289274943,0.013184062012501769,0.0819229612596516,0.06169345427024221,0.03855902123487698,0.7741403466872459,9.873376673631721
richness,0.23994005380733852,-0.09175900201528363,0.08734736949376662,-0.22728367120473195,0.014702298717000458,-0.07753247486984696,0.069266069233221,-0.05422153016506055,0.12655577295982287,-0.023615839112953785,0.0642585030541485,0.1627030864433367,0.20325768518420098,-0.21440749189111255,0.03399671774457483,0.17806769543246487,-0.10654643962188128,-0.08905285325112415,-0.09637851088287847,-0.04970902177595622,-0.013794902298415858,-0.01372926620103327,-0.4341514512954245,0.17104039525605916,0.03226676605979645,0.013836533380589414,0.1900641711989364,0.023470071227972206,-0.6345892997353828,-0.060480600187442335,-1.1301553068421692e-15,9.823307226691554
S1,0.22799548118260407,0.10139914263947754,-0.04239826488705083,-0.10425935567985725,0.02192984165882247,0.23521875353192492,0.09420291025525879,-0.0891617664658736,0.004655246172398132,0.14923123829802962,-0.266436118281092,-0.33355246370686487,-0.14697329630961478,0.05720387575488081,-0.06937604780613375,0.054626004921392295,-0.19735694520666086,0.39080403857261137,0.34291080948512154,0.10975617879051239,-0.31960724986866734,0.06469204448097768,0.05800648083791497,0.29200833701272655,-0.0936493991815668,-0.15259650086184928,-0.17764097647199978,0.04087655056360064,-0.18012381515592601,0.03494749161499012,-2.1932921238982162e-16,9.348496427690277
herbivory,-0.21926721390521325,0.19154954319178205,-0.12310772181857708,-0.1276494994360818,0.023644046378996527,0.09072088068489842,0.10255907471791684,-0.07911594992108335,0.0864974033942883,-0.01590740949542106,0.11046576138181746,0.3616230943815288,0.08367337795615927,-0.16305331793969335,0.33318002186833784,-0.3389451653847524,-0.17410632718395969,0.3136449334871566,0.3090729837577561,0.0752285082300769,0.13291375827955723,0.04469360910524132,0.02977173688190751,0.024629067376670963,0.01117583045822184,0.391795003325026,-0.054276685500574406,-0.19453052502265183,-0.045406694657490275,-0.022767766321096155,1.2594558234308298e-16,9.084643598769292
S4,0.21583332316676418,0.23468018799922846,-0.03666867064429915,-0.21197307200371615,0.0026824493793654015,-0.015049380718729414,-0.024919899761944118,0.023182814891538565,0.031714767080132815,-0.014378404875182818,-0.21549012485770902,0.05659411626166757,-0.12133021077090332,0.39983414405531714,-0.013924766866677698,0.03189078582329383,-0.02769928000818625,0.2362695103068813,-0.0014006600770394568,-0.3596308049100264,0.08562885320719162,-0.13688451113214417,0.11041048402638051,-0.2871569398701959,0.2952827823469139,0.10690159607563551,0.4598393046086445,0.03336556509035901,-0.05175362472706255,0.05925648332334782,5.885607669392418e-17,8.988501651155303
top,-0.21878851723402373,0.05061623560670074,-0.07624734802933533,-0.31480522823863166,0.008092746785807787,-0.2245980505588184,0.04355097956284441,-0.035236271440526545,-0.1677399405608912,0.05279683390324891,-0.0519066117443156,-0.08877300743491724,0.11300242585539177,0.07326907217447161,-0.0599316808211605,0.11603837737826836,0.22960430221540723,0.03945094898523924,-0.04177466391961131,0.11512082015285546,-0.09237213329974647,-0.022090442257764475,-0.048452528346808216,-0.027352766275557792,0.5191975679701037,0.05950970520026912,-0.37938836736643283,-0.07107122338618127,-0.07881108577196551,-0.03449490284331319,0.45102955892925656,8.924295192842965
S5,0.21214292902456755,0.2431682381119659,0.18989620120294412,-0.0921536712072186,-0.015698235372212283,-0.08441848787357938,-0.040310429879424715,0.03206305218047415,0.18870914752034684,-0.09694532721273133,0.19351703368081918,0.06298690656003547,-0.06840616614544744,0.1484783107719118,0.08123283820091981,-0.07487475286224125,-0.04468592519063758,0.03977936171951881,-0.26524011669563163,-0.07230803741902604,-0.27073341412239693,-0.13481649450130698,0.042863757180752485,-0.39274999018875123,-0.32097311152080704,0.06978519851645222,-0.49553330081687713,-0.019861511878320103,-0.1570623228824049,0.10343086163506592,-1.3322397806137464e-16,8.847313780166157
