model,state,n,mean,sd,se
ADBM,Pre,258,2.6051608658189664,1.3154945926055157,0.0818991160275991
ADBM,Post,258,2.355078549879949,1.412701442555714,0.08795095016473573
ATN,Pre,283,3.024962720099662,1.482175219582258,0.08810617152779486
ATN,Post,283,3.395718171214393,1.6909559693945981,0.10051689889095518
Cascade,Pre,300,4.19763993561924,2.602522885144038,0.15025672883100719
Cascade,Post,300,1.9671761537386898,0.9485432596540192,0.0547641706299253
LTM,Pre,192,3.912695979020732,3.9068575814174378,0.28195315953961103
LTM,Post,212,3.1824079430632546,1.5448960981626014,0.10610389964287209
MaxEnt,Pre,241,3.793317654914613,2.0794485901593354,0.13394905886110015
MaxEnt,Post,235,4.2536330357069625,4.4843419492073515,0.29252621426391484
Niche,Pre,300,4.317480543754729,2.5157336104418966,0.1452459477198018
Niche,Post,300,2.649104700334089,1.1626513528852425,0.06712570715619773
Random,Pre,81,3.279752867559686,1.6787369714037568,0.18652633015597297
Random,Post,82,4.0462021367342835,1.8786750130475243,0.20746494868952034
