fw_ID,model,dist_model,outcome,failed
ltm_1_10,LTM,5.9550990834463455,Equilibrium,FALSE
atn_1_10,ATN,4.667028873353133,Equilibrium,FALSE
adbm_1_10,ADBM,3.498589720185198,Equilibrium,FALSE
niche_1_10,Niche,3.2084939187136152,Equilibrium,FALSE
cascade_1_10,Cascade,3.4487162631166073,Equilibrium,FALSE
ltm_2_10,LTM,3.8632927615360426,Equilibrium,FALSE
atn_2_10,ATN,4.882005896137591,Equilibrium,FALSE
adbm_2_10,ADBM,2.530036934470243,Equilibrium,FALSE
niche_2_10,Niche,3.440735870393341,Equilibrium,FALSE
cascade_2_10,Cascade,3.4826800502626316,Equilibrium,FALSE
maxent_2_10,MaxEnt,2.4832432727051086,Equilibrium,FALSE
ltm_3_10,LTM,5.0406939376666005,Equilibrium,FALSE
niche_3_10,Niche,7.481542995486501,Equilibrium,FALSE
cascade_3_10,Cascade,5.797163575462284,Equilibrium,FALSE
random_3_10,Random,4.046863315001302,Equilibrium,FALSE
maxent_3_10,MaxEnt,7.579936223656963,Equilibrium,FALSE
ltm_4_10,LTM,5.605335748610191,Equilibrium,FALSE
atn_4_10,ATN,4.457586478880744,Equilibrium,FALSE
adbm_4_10,ADBM,2.5136200754347517,Equilibrium,FALSE
niche_4_10,Niche,6.0135509266184135,Equilibrium,FALSE
cascade_4_10,Cascade,8.38676564345698,Equilibrium,FALSE
random_4_10,Random,3.299978444515093,Equilibrium,FALSE
maxent_4_10,MaxEnt,4.961074017987397,Equilibrium,FALSE
atn_5_10,ATN,2.3803629406789373,Equilibrium,FALSE
adbm_5_10,ADBM,3.005265227283746,Equilibrium,FALSE
niche_5_10,Niche,3.9889887503654347,Equilibrium,FALSE
cascade_5_10,Cascade,3.3776446664821322,Equilibrium,FALSE
maxent_5_10,MaxEnt,4.222940640794678,Equilibrium,FALSE
ltm_6_10,LTM,5.2227714150191415,Equilibrium,FALSE
atn_6_10,ATN,3.6677888560495226,Equilibrium,FALSE
adbm_6_10,ADBM,2.760922287024275,Equilibrium,FALSE
niche_6_10,Niche,5.731782711414477,Equilibrium,FALSE
cascade_6_10,Cascade,5.0242679138030555,Equilibrium,FALSE
maxent_6_10,MaxEnt,3.4528364856499656,Equilibrium,FALSE
ltm_7_10,LTM,3.3116978909692905,Equilibrium,FALSE
atn_7_10,ATN,3.8727037868233687,Equilibrium,FALSE
adbm_7_10,ADBM,2.604980634951322,Equilibrium,FALSE
niche_7_10,Niche,3.9182153659155405,Equilibrium,FALSE
cascade_7_10,Cascade,5.353949779059474,Equilibrium,FALSE
random_7_10,Random,2.4071945593710042,Equilibrium,FALSE
maxent_7_10,MaxEnt,5.799543228739814,Equilibrium,FALSE
atn_8_10,ATN,2.5737106132587204,Equilibrium,FALSE
adbm_8_10,ADBM,2.4244716265716355,Equilibrium,FALSE
niche_8_10,Niche,5.705306192455045,Equilibrium,FALSE
cascade_8_10,Cascade,4.003610635211149,Equilibrium,FALSE
maxent_8_10,MaxEnt,8.474680297612743,Equilibrium,FALSE
atn_9_10,ATN,3.115527680717542,Equilibrium,FALSE
adbm_9_10,ADBM,2.8248662038680568,Equilibrium,FALSE
niche_9_10,Niche,9.766759177547858,Equilibrium,FALSE
cascade_9_10,Cascade,8.39724530888678,Equilibrium,FALSE
random_9_10,Random,7.502909481983012,Equilibrium,FALSE
