PC,variance
PC1,40.558248071788306
PC2,10.148745520554638
PC3,8.78198994967483
PC4,7.155575552666596
PC5,5.795332321387903
PC6,5.1043160419249975
PC7,3.7768828991832453
PC8,3.5248934297976784
PC9,2.648228619417225
PC10,2.1317779536017696
PC11,1.721869218375336
PC12,1.321729338645921
PC13,1.2770115657769128
PC14,1.1312810580628907
PC15,0.7491172188819682
PC16,0.6149489137379428
PC17,0.5244479784299559
PC18,0.4675217771536628
PC19,0.4355937665904117
PC20,0.41013277742838045
PC21,0.3806801759690668
PC22,0.2890373045239255
PC23,0.24310276701381006
PC24,0.22928270612448326
PC25,0.1571709963079261
PC26,0.14823162761580552
PC27,0.12156354061449168
PC28,0.07832766720781448
PC29,0.06315618935934829
PC30,0.009803052182762
PC31,1.483705843933706e-29
